artist,song,lyrics,complexity,swear_words_ratio
gojira,the cell,"All this evil, sanctified You're not alone You're not the only one Overcrowded in your brain You'll find a way out, or you will fall! Get me out of here I've been lost in the dark Get me out of here I'm locked inside me No control over anything I'm dying to learn I'm dying to forget Overcrowded in my mind I have to let it go, now Get me out of here I've been lost in the dark Get me out of here No Overcrowded in our minds We'll find a way out, right now Now! Now! Now! Lyrics from oficial booklet (from CD) ",8.8,0.0
gojira,04,hello wooboot... this is wooboot... hum..... your two days away from your 50th birthday... and uhhh... i'd like to talk to you... its uh...???? 9 e picos da manhã* and uhhh... if you're not there... well uhhh... i'll call later... ,3.1,0.025
gojira,the way of all flesh,"Anything that has a shape will crumble away, disappear We belong to the circle life of all creation We crawl and deny ourselves, refuse this evidence that we project our greatest fears on death and forget our power I want to live my life in close touch with the sacred Pacify the disturbances of the mind I face my own death Lower and lower is the pressure, I can feel the parts of me collapsing one into the other Higher state of consciousness awaken, I can see the light of this next world Leading my soul reborn I find it hard to believe that this picture on the wall is everything I do understand all the prayers, life is so sharp and hurts so bad What does it mean to be dying, what if you take the guts and brain away Is it this blood and heartbeat that you call life Every effort to ignore it is unavailing we all have to die Is it too late to dull the edges of the pain, I have to try This is an other dimension You can scatter ashes to the winds and even buried in the ground I'm still here Do not be afraid you are dying and the four great elements of your body are collapsing one into the other It feels as if you are being crushed by mountains The light of this world has faded completely But the light of the next world have not yet appeared Your breath is now still, no warmth to your skin Do not be afraid, there's no way that you can stay here You are leaving this world All lights are fading away now Leave behind the loved ones and all you know Do not be afraid and let yourself go ",6.4,0.008333333333333333
gojira,to sirius,,7.8,0.0
gojira,on the bota,"Lost, a lion came and said: ""Come, on the brink of the abyss"" Watch my feet swinging in the great empty one Babel d'escaliers et d'arcades c'etait un palais infini No one else is able now to play with the answers And I open, my mind is so clear There's a door in the wall of time... ",3.1,0.022727272727272728
gojira,the silver cord,INSTRUMENTAL ,7.8,0.031914893617021274
gojira,wolf down the earth,"First of all you will eat all the bodies No matter they pray for freedom they'll kill you Forward you crush those going backward The wolves are now your lords Voracious flames upon the earth Second step you eat all the creation Swallow the trees the lakes and all the valleys Crush the moon, and drink the rivers flowing Deep rolling ocean blow Burning all that lives They teach you how to conquer and rule the world The towers that you built so strong, no man can touch They tell you how to find and raise the fears and let them grow inside of your heart they need no walls Is there a chance you face the void inside? Winds of doom will blow your pride away Behold the bright lights coming down on time Before these altars black, made from your sacrifice You take for granted what's been there for ages Inside the womb the new blood gets ready to fight The buildings of our fathers crumbling in dark vibrations Wolf down the one that made us all No hope, you wolf down the earth ",7.8,0.0
gojira,from mars,I just looked myself Straight in the eyes and saw That I had to move To higher places So I took my courage In both hands and I pushed off the ground With all my might Took off from the red place In the sky I fly I have lost my reason And I've made my sense From up there I will see Where I'm from And where the force of love Will tell me now to go But why do you say That you are lost If you don't even try To find yourself My words are a stair I put my feet on And I climb through A starless night to my place ,3.1,0.0
gojira,death of me,"A giant bright eagle has come on me and taken away my universe I find myself in trouble now I put my soul in irresponsible hands exhausted I no longer try to reveal myself and I no longer want to free my soul But I must not forget all what I did for us This way I feel myself irreplaceable You had finally come to death and you will never come to life again Burn ego's black reality bring on the light I want to see your face I feel the end is near for me my world goodbye people of the dead, I join you in this confusion I don't even recall my name there is something inside I want to reveal I feel like I'm a part of this and this a part of me I know one must have confidence I will overcome From now on I'm ""this"", and not ""me"" I feel like I'm rising from the dead From up here I see my inner world is dying I'll overcome my pain ",8.3,0.013761467889908258
gojira,the link,"I want to protect myself from others Dream, I run to a better place hell, illusions, see This state of me unconscious cannot want to undertake to feel my soul I want to build some fire burn myself I decide what I see Call my name, i'll be there for you Wrong and right I want to create things beyond, insight life I want to build some fire run to myself, dive find a link between wrong and right understand, you create what you are be the link, you are what you create And now comes fire Left and right connected call my name i'll be there I am there for you now understand, you create what you are ",5.3,0.02066115702479339
gojira,rise,"History erased my story, my ancestors but I'm still alive Clenched fist, I bite the floor My eyes turn to red I raise my voice, show my fury Wide open to the sun I put my hands in this source of light In that constant energy Present at my funeral I know I'll rise And meet myself reborn Sculpt entrance out of rock Now advance without a respite Go back to the source I raise my head ",5.3,0.02158273381294964
gojira,yama s messengers,"I'm scared to death when I see them arrive Infected eyes red, staring at me The time has come for retribution Now they're counting my actions The cries and shouts are confusing me Falling in disgrace, I don't want to go now And I am facing them, it seems they recognize me It's too late for regrets They're growing darker while approaching me, creeping Prowling vultures in the sky Devoured by a ravening beast Raised, fallen from the dead Endure the pain they're giving me slow Flashes of life blurred by suffering Distant reminder of funeral piles Thousands of people dying I'm taking back all the pain distributed Through ages unconscious My brain scattered, feed habitants of this cage Consuming my heart I've killed so many, I don't want to count I spent a life raping the world both far and near before you now I come, please help creator, faultless one! ",7.3,0.022222222222222227
gojira,where dragons fall,,8.4,0.01324503311258278
gojira,lizard skin,"I reserve myself the right to protect, I from intenions around, I see a thousand faces In no one but myself I trust I don't get love or care from this world of pain Made my skin turn to stone Bending under this load, I fall, and my skin is... My fall accelerates with the weight Soon I'll be underworld Surving radiations, not for long, and I'm burning Raging storm deep inside, Unsuspected misery Someone has betrayed my trust Attempted suicide My nerves tensed, hardened my skin becomes But I give my horse its head, I'll overcome Come, meet, under my lizard skin I research the way to cleave through the air My attention span is too short My envelope is too tight now and my skin is... ",5.0,0.010810810810810813
gojira,in the wilderness,On my way To the vision-come-true I enter a galaxy rising And I land on this Brown and green old place Whose wild is giant trees Trees so strong That they never can fall Four suns alight In silver grey sky Wild river flows With rage alive Lions of fire approach me Carved by the wind And the fall of water From the treetops I can see the end of a time Living respectful Low your axe And learn from the trees Second dawn Meet the sylvanlings Passageways into the deep Invitations to explore the forest Lions gales and chambers A tree trunk Larger than a mountain Stands on the top Of this hill Made of rock and mist Living respectful Low your axe And learn from the trees Henceforth I will be always there Planet earth will overcome Men destroyed Scorned and killed their lives But the world is on her way ,10.8,0.010309278350515464
monstrosity,dream messiah,Confirmation to attack Persistent to the vibe that kills your power Deeper than life are... You! Confined to a matrix of corruption Entwined in this political surgery Some will make it look so easy By embracing their addictions to a vice they crave In depth thrives By mortal lives Blinding plagues Creating kingless slaves Pushing their bodies to their final day Impulsive drives Created lies This mortal cave Imprisoned grave THE DREAM MESSIAH! Engulfing need to retract Distanced from all hope and losing power Deeper than life are... YOU! Confined to a matrix of corruption Entwined in this political surgery Some will make it look so easy By embracing their addictions to a vice they crave You seem to think In this world you link But your lies have brought you down And to the world that waits I direct a new found hate King for a day But it reaps your faith The dreams that remains Have ripped away Chains! Dreams defy Logic of sanity Suicide Revel in agony Pushing their bodies to their final day In depth thrives By mortal lives Blinding plagues Creating kingless slaves THE DREAM MESSIAH! Confined to a matrix of corruption Entwined in this political surgery Some will make it look so easy By embracing their addictions to a vice they crave ,11.2,0.012048192771084338
monstrosity,the final cremation,"[Lyrics: L. Harrison; music: Monstrosity] A dark envision [duh, it's a verb, not a noun!] surrounds the mind grasping for the souls of dead the undead come trudging up engulfing evil in your head A sacrilegious [misspelled as ""sacreligious"" in CD liner notes] action burns inside this chant of death now seeps through your eyes A blackened charr [""char"" is a verb, not a noun; ""charr"" is a kind of fish] enraptures blood Awaking cries of unconscious souls petrified to arise Sifting ashes of the funeral of life to compel the final cremation of the skies [misselled as ""skys"" in CD liner notes] The fire burns through every corpse Resurrected shell of death revitalized core of dust altered for the last of days and propelled to liquidate An unearthly sense dwells within my head drifting through the walls of time the oracle of insanity must destroy this wasted ball of mass Awaking cries of unconscious souls petrified to arise Sifting ashes of the funeral of life to compel the final cremation of the skies [misselled as ""skys"" in CD liner notes] ",6.9,0.018518518518518517
monstrosity,the eye of judgement,"Shroud my face in this veil of scorn, At one with Darkness I am reborn. Eye of judgement Staring at you; Turn your face and hide. I impose my wrath upon you Imploring me, you'll die! Burning in the flames Cast upon your life. Feel the darkest energy Infect your soul. Screaming rage of negativity Dwells beyond my eyes Inside I control. Inflict my horror To the heart of weaker useless souls I despise. No longer, Will I allow my enemies to continue life. Descent into the grave Is the punishment. I impose on you Your flesh consumed. Swirling mass of omnipresent Hate and solitude Beckons you! Eye of judgement! Covered in the blood of my enemies And pure virgin innocence. My soul can rest I've imposed my judgement On the feeble beings And their souls are raped In my God-like state! Inflict my horror To the heart of weaker useless souls I despise. No longer, Will I allow my enemies to continue life! Eye of judgement Staring at you; Turn your face and hide. I impose my wrath upon you Imploring me, you'll die! ",6.4,0.0071428571428571435
monstrosity,manipulation strain,Cast into desolation Uniform destruction of the pure On wasted soil never to vegetate On this lifeless planet of ash Manipulation of their world These helpless victims Sirens of war soon fade Silence of death now heard By mutant survivors of this holocaust A strange leprotic race Dreaming of a different place Manipulation Strain Manipulation Strain! To build once more from volcanic dust A populace of deformities A multitude of horrific defects Corrupts the surviving colonies Engulfing their lives ever slowly Manipulation Strain Manipulation Strain! Searching in their eyes For a gleam of life Yet the only rays of hope Are filtered out by the burning sky And with their fears Of the poisoned atmosphere Comes the fuel to cast them onward To the shores of oblivion! In a forgotten world Of lives that have no worth The remaining cries Fall to waste Screaming they're not dreaming Fate has caste them down Into their molten grave Never to be found These helpless victims! Sirens of war soon fade Silence of death now heard By mutant survivors of this holocaust A strange leprotic race Dreaming of a different place Manipulation Strain Manipulation Strain! By PhMetal ,6.2,0.01818181818181818
monstrosity,mirrors of reason,Magnetic energies Gravitating towards the fatal plunge Reflections of your dying world Penetrating core of existence Your mind is dying The race is blinding you can't decide Drawing from your power Electrifying current surging your fears uncoiling The mirrors of reason But your fears keep you guessing Fading fast in the rushing flow that leaves you in the past Reasons deter your strength And your hopes have been strangled leaving questions of reality Questions of this reality! Magnetic energies Gravitating towards the fatal plunge Reflections of your dying world Penetrating core of existence ,8.8,0.0037174721189591076
monstrosity,fragments of resolution,Searching through this violent haze Contracted by illusions This mesmerizing dream To find fragments of resolution The eyes of eternity Focus on the myriad forms As the minds of the conscious crumble To the weakness their truth must conform Fragments... of resolution Fragments... of resolution Breathing in this misery Destroying absolution Victim of a hidden past Resounding with execution Motionless are the serpent's eyes Dripping with your conclusion Hanging on by a thread of life Ties are cut with resolution's... knife By PhMetal ,6.2,0.0
monstrosity,shadow of obliteration,Victims of a dying world  Succumb beneath a wrath of terror  Oblivious to the awaiting doom  A never ending rain of lire consumes Blind they sleepwalk the path of lies  Offer prayers to an empty sky  Wasted effort only made in vain  Weak are tortured in endless pain [#1] When darkness falls  Blind illusions deceive us  Hoping for a non existent savior  While we alone are strung enough Victims of a dying faith I have now grown to hate  and forever turn my back to the lights weak embrace Darkness once confined within  demon absolved no longer bound  dark forces controlling the mind  spill forth onto realms of light [REPEAT 1] Victims of a dying world  Succumb beneath a wrath of terror  Oblivious to the awaiting doom  A never ending rain of fire burns... Blind they sleepwalk the path of lies  Offer prayers to an empty sky  Wasted effort only made in vain  Weak are tortured in endless pain ,6.2,0.01
monstrosity,shapeless domination,"Rising from the depths of creation Timeless with rage and wrath infernal. A God with no form to man Lies dormant observing generations of existence, Dormant awaiting the time. To rise upon the wind of fire Devours all flesh and bone In Supreme Shapeless Domination. In this landscape of burning life Those who suffer the wrath Dissolve and become one With the body of the beast infernal. Destruction In burning ashes Blacken the sky with your fury. A burning rage illuminates And erupts to darken the light of the sun. Burning flesh permeates And death screaming on searing winds, Infernal prophecy realized In this prelude to incineration. Deep below the ground it lives Now it awakes to feed on the flesh of a nation. Caressed by the touch of fire And exists to awake It awakens to destroy itself. Forced to yield to its power Its form adapting to that of its prey, Its hunger never ends. In destruction in itself creation Cleansing the face of the earth. With the wrath of the earth itself Al life burned alive, Regeneration through incineration. Deep below the ground it lives Now it awakes to feed on the flesh of a nation. Caressed by the touch of fire And exists to awake; It awakens to destroy itself. By PhMetal ",8.3,0.04294478527607362
