,Unnamed: 0,artist,song,lyrics,complexity,swear_words_ratio
0,0,gojira,flying whales,"At the very first sound There was just light And then, a storm Of time and space Just came and struck Created our time In water life We understand It just only began  Forced to look to the sky And wonder why We cannot face the fact that We're all scared now Of mysteries of life There is a mask that soon will fall Before the strong embrace Of love and might Of light in the dark I go for a quest I have to give myself the answer Enter now this place in the wild I can see the glade My feeling now is growing bigger  From the sky From the sky  I do feel like no one can save me I am so alone and yet I cried I called for help, forsaken But now I know The only way is to Understand the living Obey the rule of light And face the fear Inside out!  Lost, I found there a stone Erected in line With one the brightest stars Of all the night sky vault And I took my time Took off the moss Washed away the dust And gave a new lease of life Its' mystical force I grab it now And praise this lord Of earth and stone Make passage for souls awaken So it returns To where it's always been With the gods Now coming, I feel the love It comes from on high  I know the words But now I feel it inside It grows, it's there And all it comes From the sky From the sky",0.0,0.007575757575757576
1,1,gojira,vacuity,"At the very first sound There was just light And then, a storm Of time and space Just came and struck Created our time In water life We understand It just only began  Forced to look to the sky And wonder why We cannot face the fact that We're all scared now Of mysteries of life There is a mask that soon will fall Before the strong embrace Of love and might Of light in the dark I go for a quest I have to give myself the answer Enter now this place in the wild I can see the glade My feeling now is growing bigger  From the sky From the sky  I do feel like no one can save me I am so alone and yet I cried I called for help, forsaken But now I know The only way is to Understand the living Obey the rule of light And face the fear Inside out!  Lost, I found there a stone Erected in line With one the brightest stars Of all the night sky vault And I took my time Took off the moss Washed away the dust And gave a new lease of life Its' mystical force I grab it now And praise this lord Of earth and stone Make passage for souls awaken So it returns To where it's always been With the gods Now coming, I feel the love It comes from on high  I know the words But now I feel it inside It grows, it's there And all it comes From the sky From the sky",0.0,0.007575757575757576
2,2,gojira,backbone,"Now from a solar system To another I fly I come with life in my veins Through darkened space I ran I left a struggle behind And faced the fear that's alive I lost a world and traveled Straight across from the sky To find the gates of the heart  I come to Sirius C To learn from you friends of old And wish to come into being And behold I'm with you I am ready now to go The distance and even beyond Recover all my forces All the strength of the world And feel the light into me  From the strength of God We go to the power of Goddess This place is a throne For brightness The age of war is over  For God's sake They have never heard of you ""You'll never reach This master race"" Our force sickening Killing all the time Human laws Already slayed many lives  There was a streak of madness But now I know I see it's not the only truth The scars in me are opened Won't you please call me beyond  Crave affection love and courage Being courageous And flying instead of Falling down Follow these instructions I've been given In this dream awake  There is no goal to reach now Leviathans No complaint at all Dolphins from upper space Are in front of me In present they dwell  This is my way I've found my home My state of real There is no goal to reach This is my way",0.0,0.01984126984126984
3,3,gojira,oroborus,[Instrumental],0.0,0.0
4,4,gojira,lenfant sauvage,[Instrumental],0.0,0.0
5,5,gojira,stranded,[Instrumental],0.0,0.0
6,6,gojira,love,[Instrumental],0.0,0.0
7,7,gojira,the art of dying,[Instrumental],0.0,0.0
8,8,gojira,in the forest,[Instrumental],0.0,0.0
9,9,gojira,silvera,[Instrumental],0.0,0.0
10,10,gojira,low lands,[Instrumental],0.0,0.0
11,11,gojira,pain is a master,"Crawling and moaning in the sharp blade of grass All my life starting over, blood spilled inside out I went through this cycle of pain deep in myself Destroyed by awful hands, a demon of illusion The pain now awaken, I'm cracking wide open Can barely recognize my body, a battlefield Unquestioned pride once so fragile I cannot even recall names or faces Those standing on my side Those standing on my side, always My side I am nothing, the pain awake is forging me Face down, inert Forcing me, dreams haunting me I am immense, I am awake, renewed Lost in the darkest time I know I felt their presence Even if I was blind, face down I was blind Pain, please forgive my ignorance My master ",0.0,0.0078125
12,12,gojira,born in winter,"before all things reborn again you learn the painful breath of time cold morning stretches out your arms to the mighty warmth of one golden sun seems all have gone insane for gold all was created out of the night we're all born from the burst of a star the day you'll come to life you'll realize expanding force of life where you belong and in the winter cold, with opened eyes you'll find the strength to fight and stand upright one day you'll walk the world and keep in mind the heart you've been given in winter time and through the bitter cold, with opened eyes you'll find the strength to fight and stand upright ",0.0,0.008620689655172414
13,13,gojira,the cell,"All this evil, sanctified You're not alone You're not the only one Overcrowded in your brain You'll find a way out, or you will fall! Get me out of here I've been lost in the dark Get me out of here I'm locked inside me No control over anything I'm dying to learn I'm dying to forget Overcrowded in my mind I have to let it go, now Get me out of here I've been lost in the dark Get me out of here No Overcrowded in our minds We'll find a way out, right now Now! Now! Now! Lyrics from oficial booklet (from CD) ",8.8,0.0
