,artist,song,lyrics
0,gojira,flying whales,"At the very first sound There was just light And then, a storm Of time and space Just came and struck Created our time In water life We understand It just only began  Forced to look to the sky And wonder why We cannot face the fact that We're all scared now Of mysteries of life There is a mask that soon will fall Before the strong embrace Of love and might Of light in the dark I go for a quest I have to give myself the answer Enter now this place in the wild I can see the glade My feeling now is growing bigger  From the sky From the sky  I do feel like no one can save me I am so alone and yet I cried I called for help, forsaken But now I know The only way is to Understand the living Obey the rule of light And face the fear Inside out!  Lost, I found there a stone Erected in line With one the brightest stars Of all the night sky vault And I took my time Took off the moss Washed away the dust And gave a new lease of life Its' mystical force I grab it now And praise this lord Of earth and stone Make passage for souls awaken So it returns To where it's always been With the gods Now coming, I feel the love It comes from on high  I know the words But now I feel it inside It grows, it's there And all it comes From the sky From the sky"
1,gojira,vacuity,[Instrumental]
2,gojira,backbone,[Instrumental]
3,gojira,oroborus,[Instrumental]
4,gojira,lenfant sauvage,[Instrumental]
5,gojira,stranded,[Instrumental]
6,gojira,love,[Instrumental]
7,gojira,the art of dying,[Instrumental]
8,gojira,in the forest,[Instrumental]
9,gojira,silvera,[Instrumental]
10,gojira,low lands,[Instrumental]
11,gojira,pain is a master,"Crawling and moaning in the sharp blade of grass All my life starting over, blood spilled inside out I went through this cycle of pain deep in myself Destroyed by awful hands, a demon of illusion The pain now awaken, I'm cracking wide open Can barely recognize my body, a battlefield Unquestioned pride once so fragile I cannot even recall names or faces Those standing on my side Those standing on my side, always My side I am nothing, the pain awake is forging me Face down, inert Forcing me, dreams haunting me I am immense, I am awake, renewed Lost in the darkest time I know I felt their presence Even if I was blind, face down I was blind Pain, please forgive my ignorance My master "
12,gojira,born in winter,"before all things reborn again you learn the painful breath of time cold morning stretches out your arms to the mighty warmth of one golden sun seems all have gone insane for gold all was created out of the night we're all born from the burst of a star the day you'll come to life you'll realize expanding force of life where you belong and in the winter cold, with opened eyes you'll find the strength to fight and stand upright one day you'll walk the world and keep in mind the heart you've been given in winter time and through the bitter cold, with opened eyes you'll find the strength to fight and stand upright "
